"Move to Wish List","Премести в Списък с Желани."
"No item specified.","Не е посочен артикул."
"Are you sure you want to remove this item?","Сигурни ли сте че искате да премахнете този артикул?"
"SKU number","Каталожен Номер"
"Upload File","Качи файл"
"Reset","Нулиране"
"SKU: ","Каталожен Номер: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Само <span id=""%1_max_allowed"">%2</span> в наличност"
"Item","Артикул"
"See price before order confirmation.","Вижте цената преди потвърждението на поръчката."
"What's this?","Какво е това?"
"Incl. Tax","с ДДС"
"Excl. Tax","без ДДС"
"Edit item parameters","Редактирай параметрите на артикула"
"Edit","Редактирай"
"Remove item","Премахни артикул"
"Products Requiring Attention","Продукти изискващи внимание"
"Add to Cart","Добави към количката"
"Sku","каталожен номер (Sku)"
"File","Файл"
"Add Row","Добави Ред"
"Remove Row","Премахни Ред"
"Add Products By SKU","Добави продукти чрез Каталожен Номер"
"Customer Groups","Клиентски групи"
"Apply Coupon","Приложи Купон"
"Shopping Cart Management","Управеление на Количката"
"Link Text","Link Текст"
"Load a list of SKUs","Зареди списък с Каталожни Номера"
"Order by SKU Template","Подредени по Шаблон с Каталожни Номера""Related Search Terms","Фрази, свързани с търсенето"
"Add New Search Term","Добавяни нова фраза за търсене"
"Enable Search Recommendations","Активирай препоръки"
"When you enable this option your site may slow down.","Когато активирате тази опция, вашият сайт може да се забави."
"Search Recommendations Count","Брой препоръки"
"Show Results Count for Each Recommendation","Покажи броят на резултатите за всяка препоръка"
"Enable Search Suggestions","Активиране на предложения за търсене"
"Search Suggestions Count","Брой предложения за търсене"
"Show Results Count for Each Suggestion","Покажи броят на резултатите за всяко предложение"
"ID","ИН"
"Search Query","Опашка на търсенето"
"Store","Магазин"
"Results","Резултати"
"Uses","Използвания"
"Synonym","Синоним"
"Redirect URL","URL Пренасочване"
"Suggested Term","Предложена Фраза"
"Yes","Да"
"No","Не"
"Action","Действие"
"Edit","Редактирай""We can't find the role for the user you wanted.","Не можем да намерим ролята на потребителя, която искате."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Нещо се обърка при съставянето на списък с позволени средства. Можете да разберете повече във файла с грешки.""Backups","Архиви"
"System","Система."
"Tools","Инструменти"
"Backup","Архив"
"Database","Database"
"Exclude","Изключване"
"User Password","Потребителска парола"
"Create Backup","Създай архив"
"Start Time","Време на започване"
"Frequency","Честота"
"Delete","Изтриване"
"Time","Дата"
"Name","Name"
"Type","Тип"
"Download","Изтегли"
"Action","Действие""Root","Корен"
"Save Category","Запази Категория"
"Delete Category","Изтрий категория"
"Reset","Отново"
"Use Config Settings","Използвай Конфиг Настройки"
"Custom Design","Персонализиран Дизайн"
"ID","ИН"
"Name","Име"
"SKU","Каталожен номер"
"Price","Цена"
"Position","Позиция"
"Category Data","Данни на категория"
"Category Products","Категория Продукти"
"Add Subcategory","Добави Подкатегория"
"Add Root Category","Добави Главна Категория"
"Day","Ден"
"Month","Месец"
"Year","Година"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>от</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>до</span></label>"
"[GLOBAL]","[Глобално]"
"[WEBSITE]","[САЙТ]"
"WYSIWYG Editor","WYSIWYG редактор"
"Add Product","Добави Продукт"
"label","етикет"
"Product Attributes","Продукт Атрибути"
"Add New Attribute","Добави нов атрибут"
"Save in New Attribute Set","Запази нова група от атрибути"
"Save and Continue Edit","Запази и продължи Редакцията"
"Save Attribute","Запази Атрибут"
"Delete Attribute","Изтрий атрибута"
"Edit Product Attribute ""%1""","Редактирай продуктов атрибут ""%1"""
"New Product Attribute","Нови атрибут на продукт"
"Attribute Code","Код на атрибут"
"Default Value","Стойност по подразбиране"
"Unique Value","Уникална Стойност"
"Unique Value (not shared with other products)","Уникална стойност (не се споделя с други продукти)"
"Not shared with other products","Не се споделя с други продукти"
"Input Validation for Store Owner","Валидация на входящата информация за собственик на магазина"
"Store View","Изглед на магазин"
"Website","Уебсайт"
"Global","Глобален"
"Scope","Обхват"
"Declare attribute value saving scope","Декларирай обхват на стойността на атрибута"
"Use in Search","Употреба при търсене"
"Visible in Advanced Search","Вижда се в Разширено търсене"
"Comparable on Storefront","Сравним в Магазина"
"Enable WYSIWYG","Активиране на WYSIWYG"
"Allow HTML Tags on Storefront","Позволи HTML Тагове в Магазина"
"Visible on Catalog Pages on Storefront","Видим на каталог страниците на Магазина"
"Used in Product Listing","Използва се в списъка с продукти"
"Depends on design theme","Зависи от дизайна темата"
"Used for Sorting in Product Listing","Използва се за подреждане в списъка с продукти"
"Media Image","Медия изображение"
"Gallery","Галерия"
"System Properties","Свойства на системата"
"No","Не"
"Yes","Да"
"Data Type for Saving in Database","Типа данни за съхраняване в базата данни"
"Text","Текст"
"Varchar","Varchar"
"Static","Статични"
"Datetime","Дата/час"
"Decimal","Десетични"
"Integer","Цяло число"
"Globally Editable","Глобално редактируеми"
"Attribute Information","Атрибути Информация"
"Properties","Свойства"
"Manage Labels","Управление на етикети"
"Visible","Видимо"
"Web Site","Уебсайт"
"Searchable","Възможно за търсене"
"Comparable","Сравними"
"Delete Selected Group","Изтрий избраната група"
"Add New","Добави ново"
"Back","Назад"
"Delete","Изтриване"
"Save","Запази"
"New Set Name","Ново име на сет"
"Edit Attribute Set '%1'","Редактирай атрибут сет '%1'"
"Empty","Изпразни"
"Add Attribute","Добави атрибут"
"Add New Group","Добави нова група"
"Add Group","Добави Група"
"Edit Attribute Set Name","Редактирай име на атрибут сет"
"For internal use","За вътрешна употреба"
"Based On","Базирано на"
"Add New Attribute Set","Добави нова група атрибути"
"Add Attribute Set","Добави атрибут сет"
"Attribute Sets","Атрибут сетове"
"Close Window","Затвори прозореца"
"New Product","Нов продукт"
"Save & Edit","Запази & Редактирай"
"Save & New","Запази & Създай нов"
"Save & Duplicate","Запази & Дублирай"
"Save & Close","Запази & Затвори"
"Attributes","Attributes"
"Change","Change"
"Websites","Websites"
"Products Information","Продукти Информация"
"Category Name","Име на категорията"
"Parent Category","Родителска категория"
"First Name","Собствено име"
"Last Name","Фамилия"
"Email","Имейл"
"Send Count","Изпрати брой"
"New Attribute","Нов атрибут"
"Type","Тип"
"Attribute Set","Атрибут Сет"
"Status","Статус"
"Visibility","Видимост"
"Add New Option","Добави нова опция"
"Use Default","Използване по подразбиране"
"Import","Импорт"
"Add New Row","Добави нов ред"
"Delete Row","Изтрий Ред"
"Tier Pricing","Tier Pricing"
"Default Price","Цена по подразбиране"
"All Websites","Всички сайтове"
"ALL GROUPS","Всички групи"
"Add Price","Добави Цена"
"Default Values","Стандартни ценности"
"Related Products","Свързани продукти"
"Up-sells","Топ-продажби"
"Cross-sells","Свързани продажби"
"Size for %1","Размер за %1"
"Name in %1","Име в %1"
"Quantity","Количество"
"Edit","Редактирай"
"Are you sure?","Сигурни ли сте?"
"Change Status","Промени статуса"
"Update Attributes","Update Attributes"
"Images and Videos","Снимки и Видеа"
"Click here or drag and drop to add images.","Кликнете тук, или довлачене и пуснете, за да добавите изображения."
"Delete image","Изтриване на изображение"
"Make Base","Направи Основен"
"Hidden","Скрит"
"start typing to search category","започнете да пишете, за да намерите категория"
"New Category","Нова категория"
"Images (.gif, .jpg, .png)","Снимки (.gif, .jpg, .png)"
"Add New Images","Добави нови снимки"
"Inc. Tax","с ДДС"
"Does this have a weight?","Това има ли тегло?"
"Product","Продукт"
"Notify Low Stock RSS","RSS за ниско количество"
"Low Stock Products","Продукти с малко количество"
"%1 has reached a quantity of %2."," %1 е достигнал количество от %2."
"Home","Начало"
"Go to Home Page","Към началната страница"
"Subscribe to RSS Feed","Абонирайте се за RSS емисията"
"Products Comparison List","Списък с Продукти за Сравнение"
"N/A","N/A"
"AM","AM"
"PM","PM"
"-- Please Select --","-- Моля, изберете --"
"None","Нито един"
"New Products from %1","Нови продукти от %1"
"New Products","Нови продукти"
"%1 - Special Products"," %1 - Специални продукти"
"Click for price","Кликнете за цена"
"Price: %1","Цена: %1"
"Special Price: %1","Специална Цена: %1"
"Special Products","Специални продукти"
"You deleted the category.","Изтрихте категорията."
"Something went wrong while trying to delete the category.","Нещо се обърка, докато се опитахме да изтрием категорията."
"Categories","Категории"
"Manage Catalog Categories","Управление на категориите в каталога"
"Manage Categories","Управление на категориите"
"Catalog","Каталог"
"Manage Product Attributes","Управление на атрибутите на продуктите"
"This attribute no longer exists.","Този атрибут вече не съществува."
"This attribute cannot be edited.","Този атрибут не може да се редактира."
"Edit Product Attribute","Редактирай атрибут на продукт"
"You duplicated the product.","Дублирахте продукта."
"This product no longer exists.","Този продукт вече не съществува."
"Products","Продукти"
"A group with the same name already exists.","Група със същото име вече съществува."
"Something went wrong while saving this group.","Нещо се обърка, докато запазвахме на тази група."
"Unable to save product","Не успяхте да запазите продукта."
"You saved the product.","Запазихте продукта."
"SKU for product %1 has been changed to %2.","Каталожният Номер за продукт %1 е променен до %2."
"Manage Product Sets","Управление на комплекти продукти"
"Manage Attribute Sets","Управление на комплекти атрибути"
"You added product %1 to the comparison list.","Добавихте продукт %1 в списъка за сравнение."
"1 item","1 артикул"
"%1 items","%1 артикули"
"Invalid attribute %1","Невалиден атрибут %1"
"Grid","Таблица"
"List","Списък"
"All","Всички"
"Product is not loaded","Продуктът не е зареден"
"Can't delete root category.","Не може да се изтрие главната категория."
"No layout updates","Няма актуализация на подредбите"
"Products only","Продукти само"
"Static block only","Статичен блок само"
"Static block and products","Статичен блок и продукти"
"Please select a static block.","Моля изберете статичен блок."
"Could not move category","Категорията не може да се премести"
"Could not save category: %1","Категорията не може да се запази: %1"
"Cannot delete category with id %1","Категорията с идентификатор %1 не може да бъде изтрита"
"-- Please Select a Category --","- Моля, изберете категория -"
"Grid Only","Само Таблица"
"List Only","Само Списък"
"Grid (default) / List","Таблица (по подразбиране) / Списък"
"List (default) / Grid","Списък (по подразбиране) / Таблица"
"Manual","Ръчно"
"Fixed","Определено"
"Percent","Процент"
"-- Please select --","-- Моля, изберете --"
"Product Thumbnail Itself","Продуктова снимка"
"Parent Product Thumbnail","Снимка за главен продукт"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Разтегли"
"Tile","Плочки"
"Top/Left","Горе/Ляво"
"Top/Right","Горе/Дясно"
"Bottom/Left","Долу/Ляво"
"Bottom/Right","Долу/Дясно"
"Center","В средата"
"Category","Категория"
"%1 - %2","%1 - %2"
"Clear Price","Изчисти Цена"
"%1 and above"," %1 и нагоре"
"The filters must be an array.","Филтрите трябва да са масив."
"The image does not exist.","Изображението не съществува."
"Please correct the image file type.","Моля, коригирайте типа на графичния файл."
"Please enter a valid number in this field.","Моля въведете валиден номер в това поле."
"Invalid option id %1","Невалиден опция ИН %1"
"Use config","Използвай конфигурацията"
"Enabled","Активиран"
"Disabled","Неактивно"
"The image content is not valid.","Съдържанието на изображението не е валидно."
"Cannot save product.","Продуктът не може да се запази."
"Such product doesn't exist","Такъв продукт не съществува"
"Such image doesn't exist","Такова изображение не съществува"
"Select type options required values rows.","Select type options required values rows."
"px.","px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Файлът ""%1"", който качихте е по-голям от %2 мегабайта, които са позволени от нашия сървър."
"The file '%1' is empty. Please choose another one","Файлът ""%1"" е празен. Моля, изберете друг"
"The file '%1' is invalid. Please choose another one","Файлът ""%1"" е невалиден. Моля, изберете друг"
"File '%1' is not an image.","Файл ""%1"" не е изображение."
"The file you uploaded is larger than %1 Megabytes allowed by server","Каченият от вас файл е по-голям от %1 мегабайта, позволени от сървъра"
"The file is empty. Please choose another one","Файлът е празен. Моля, изберете друг"
"The text is too long.","Текстът е прекалено дълъг."
"The file upload failed.","Качването на файла е неуспешно."
"Not Visible Individually","Не се вижда Индивидуално"
"Search","Търсене"
"Catalog, Search","Каталог, Търсене"
"Group with id ""%1"" does not exist.","Група с идентификатор ""%1"" не съществува."
"Unknown link type: %1","Неизвестен тип връзка: %1"
"Provided link type ""%1"" does not exist","Зададеният тип връзка ""%1"" не съществува"
"Invalid data provided for linked products","Невалидни данни за свързани продукти"
"Multiple Select","Множествен избор"
"Dropdown","Падащо меню"
"As low as","As low as"
"message","съобщение"
"Select...","Изберете ..."
"Are you sure you want to delete this category?","Сигурни ли сте, че искате да изтриете тази категория?"
"ID: %1","ИН: %1"
"This operation can take a long time","Тази операция може да отнеме много време"
"Collapse All","Свиване на всички"
"Expand All","Отваряне на всички"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Use Default Value","Използвай стойност по подразбиране"
"Manage Titles (Size, Color, etc.)","Управление на заглавия (размер, цветове и т.н.)"
"Manage Options (values of your attribute)","Управление Опции (стойности на вашия атрибут)"
"Is Default","е по подразбиране"
"Add Option","Добави опция"
"Groups","Групи"
"Unassigned Attributes","Неприсвоени атрибути"
"A name is required.","Името е задължително."
"This group contains system attributes. Please move system attributes to another group and try again.","Тази група съдържа система атрибути. Моля преместете системните атрибути в друга група и опитайте отново."
"Please enter a new group name.","Моля, въведете ново име на групата."
"Custom Options","Custom Options"
"This is a required option.","Това е задължително опция."
"The field isn't complete.","Полето не е пълно."
"Compatible file extensions to upload","Съвместими файлови разширения за качване"
"Maximum image width","Максимална ширина на изображението"
"Maximum image height","Максимална височина на изображението"
"Manage Stock","Управление на склад"
"Qty","Количество"
"Minimum Qty Allowed in Shopping Cart","Минимум количество позволено в количката"
"Maximum Qty Allowed in Shopping Cart","Максимум количество позволено в количката"
"Qty Uses Decimals","Количество използва десетични знаци"
"Backorders","Върнати поръчки"
"Notify for Quantity Below","Извести за количество под"
"Stock Availability","Наличност"
"In Stock","В наличност"
"Out of Stock","Изчерпано количество"
"Add Product To Websites","Добавяне на продукт към Уебсайтове"
"Remove Product From Websites","Премахни продукта от Уебсайтовете"
"Option Title","Заглавие на опция"
"Input Type","Input Type"
"Required","Задължително"
"Price Type","Тип Цена"
"Compatible File Extensions","Съвместими файлови разширения"
"Maximum Image Size","Максимален размер на изображението"
"Please leave blank if it is not an image.","Моля, оставете празно, ако не е изображение."
"Title","Заглавие"
"Max Characters","Максимален брой символи"
"Customer Group","Клиентска група"
"Item Price","Цена артикул"
"Action","Действие"
"and above","и отгоре"
"Product In Websites","Продукт В Уебсайтове"
"(Copy data from: %1)","(Копирай данни от: %1)"
"Role","Роля"
"Hide from Product Page","Скрий от Продуктовата страница"
"Close panel","Затвари панела"
"Product Alerts","Продуктови предупреждения"
"start typing to search attribute","започнете да пишете, за да намерите атрибут"
"Basic Settings","Основни настройки"
"Advanced Settings","Разширени настройки"
"Actions","Действия"
"Mass Actions","Масови Действия"
"Select All","Избери всички"
"Unselect All","Премахни избора на всички"
"Select Visible","Изберете видимите"
"Unselect Visible","Премахни избора на видимите"
"Special Price","Специална цена"
"Regular Price","Редовна цена"
"Buy %1 for: ","Купи %1 за:"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Купи %1 за %2 всеки и <strong class=""benefit"">спести<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Купи %1 за %2 всеки"
"Shop By","Пазарувай според"
"Shopping Options","Опции за пазаруване"
"Compare Products","Сравни Продуктите"
"Print This Page","Отпечатай тази страница"
"Remove Product","Премахване на продукт"
"Add to Cart","Добави към количката"
"In stock","На склад"
"Out of stock","Няма наличност"
"Add to Wish List","Добави към списъка с желани"
"You have no items to compare.","Не сте избрали продукти за сравнение"
"Remove This Item","Премахни този елемент"
"Compare","Сравни"
"Clear All","Изчисти всичко"
"Prev","Предишен"
"Next","Следващ"
"We can't find products matching the selection.","Не можем да намерим продукти, отговарящи на избора Ви."
"Add to Compare","Добави за сравнение"
"Learn More","Научете повече"
"We found other products you might like!","Открихме други продукти, които може да ви харесат!"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","Избери всички"
"Items %1-%2 of %3","Продукти %1-%2 от %3"
"%1 Item","%1 Артикул"
"%1 Items","%1 Артикули"
"Show","Покажете"
"per page","на страница"
"Sort By","Сортирай по"
"Set Ascending Direction","Задай Възходяща Посока"
"Set Descending Direction","Задай Низходяща Посока"
"View as","Виж като"
"More Information","Повече информация"
"Loading...","Зарежда се ..."
"* Required Fields","* Задължителни полета"
"Availability","Наличност"
"Warning message","Предупредително съобщение"
"Ok","Добре"
"Cancel","Отмени"
"Submit","Подай"
"Configure Product","Конфигуриране на продукта"
"OK","OK"
"Please add rows to option.","Please add rows to option."
"Select Product","Избор на продукт"
"Please select items.","Моля, изберете елементи."
"Choose existing category.","Изберете съществуваща категория."
"Create Category","Създаване на Категория"
"Image Detail","Детайли за снимката"
"unselect all","премахни всички"
"Small","Малък"
"Main","Основен"
"Thumbnail","Thumbnail"
"List Mode","Режим на списък"
"Comma-separated.","Разделен със запетая."
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Product Image Placeholders","Рамка на изображението на продукта"
"Search Engine Optimization","Оптимизация за търсачки"
"Page Title Separator","Page Заглавие Разделител"
"Catalog Price Scope","Обхват на каталог цени"
"Category Top Navigation","Category Top Navigation"
"Maximal Depth","Максимална дълбочина"
"Date & Time Custom Options","Date & Time Custom Options"
"Use JavaScript Calendar","Използвайте JavaScript Календар"
"Time Format","Времеви формат"
"Year Range","Year Range"
"Please use a four-digit year format.","Моля, използвайте четирицифрен формат за година."
"Product Image Watermarks","Водни знаци на продукта"
"Watermark Default Size","Размер по подразбиране на воден знак"
"Watermark Opacity, Percent","Видимост на Воден Знак, Процент"
"Watermark","Воден знак"
"Watermark Position","Позиция на водния знак"
"Top Level Category","Основна категория"
"Product Categories","Продуктови категории"
"Product Price","Цена на продукта"
"All products - recently added products, New products - products marked as new","Всички продукти - последно добавени продукти, нови продукти - продукти, маркирани като нови"
"All products","Всички продукти"
"New products","Нови продукти"
"Number of Products per Page","Брой продукти на страница"
"Number of Products to Display","Брой на продукти за показване"
"Template","Шаблон"
"Link to a Specified Product","Линк към определен продукт"
"Select Product...","Изберете продукт ..."
"Link to a Specified Category","Линк към определена категория"
"Select Category...","Избери категория..."
"If empty, we'll use the category name here.","Ако празен, ще използваме името на категорията тук."
"All Store Views","Всички изгледи на магазини"
"Delete items","Изтриване на елементи"
"Delete selected items?","Изтриване на избраните елементи?"
"Change status","Промени статус"
"Enable","Активиране"
"Disable","Деактивиране"
"Update attributes","Актуализирай Атрибути"
"none","нито един"
"Overview","Преглед"
"Details","Подробности""Edit Event...","Редактирай събитие ..."
"Add Event...","Добави събитие ..."
"Events","Събития"
"Save and Continue Edit","Запази и продължи редакцията"
"Back to Category","Обратно към категорията"
"Category","Категория"
"Start Date","Стартова дата"
"End Date","Крайна дата"
"Image","Изображение"
"Sort Order","Подредени по"
"Upcoming","Предстоящ"
"Open","Отвори"
"Closed","Затворено"
"Product Page","Продуктова страница"
"Status","Статус"
"[GLOBAL]","[Глобално]"
"[WEBSITE]","[САЙТ]"
"Coming Soon","Очаквайте скоро"
"Sale Ends In","Разпродажбата завършва след"
"Catalog","Каталог"
"You deleted the event.","Изтрихте събитието"
"New Event","Ново събитие"
"Default Values","Стандартни ценности"
"Please make sure the end date follows the start date.","Моля, уверете се, че крайната дата следва началната дата."
"Event for selected category","Събитие за избраната категория"
"This product is no longer on sale.","Този продукт вече не е в продажба."
"Select Category","Избери категория"
"Use Default Value","Използвай стойност по подразбиране"
"Days","Дни"
"Hrs","Часове"
"Mins","Минути"
"Preview Sale","Преглед Продажба"
"Go To Sale","Отиди до продажбата"
"View Sale","Вижте Продажбата"
"Previous","Предишен"
"Next","Следващ"
"ID","ИН"
"Start","Начало"
"End","Край"
"Action","Действие"
"Edit","Редактирай""ALL GROUPS","Всички групи"
"Customer Group","Клиентска група"
"Minimum Qty","Минимално Количество"
"Add Minimum Qty","Добави Минимално Количество"
"This product is out of stock.","Този продукт не е в наличност."
"Some of the products are out of stock.","Някои от продуктите не са в наличност."
"%1 is not a correct comparison method."," %1 не е правилен метод на сравнение."
"No Backorders","Без връщане на поръчки"
"Allow Qty Below 0","Разреши количество под 0"
"Allow Qty Below 0 and Notify Customer","Разреши количество под 0 и уведоми клиента"
"In Stock","В наличност"
"Out of Stock","Изчерпано количество"
"Not all of your products are available in the requested quantity.","Не всички от вашите продукти са на разположение в заявеното количество."
"Product with SKU ""%1"" does not exist","Каталог с Код ""%1"" не съществува"
"Only %1 left","Остава само %1"
"Product availability","Наличност на продукта"
"Product Name","Продукт име"
"Qty","Количество"
"Inventory","Инвентар"
"Stock Options","Опции на склада"
"Decrease Stock When Order is Placed","Намали наличността, когато е направена поръчка"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Display Out of Stock Products","Показвай продукти, които не са в наличност."
"Product Stock Options","Product Stock Options"
"Manage Stock","Управление на склад"
"Backorders","Върнати поръчки"
"Maximum Qty Allowed in Shopping Cart","Максимум количество позволено в количката"
"Minimum Qty Allowed in Shopping Cart","Минимум количество позволено в количката"
"Notify for Quantity Below","Извести за количество под"
"Stock","Наличност"
"Quantity","Количество""Home","Начало"
"Go to Home Page","Към началната страница"
"Catalog Advanced Search","Подробно търсене в каталога"
"All","Всички"
"Yes","Да"
"No","Не"
"Results","Резултати"
"Grid","Таблица"
"List","Списък"
"Relevance","Relevance"
"Search results for: '%1'","Резултати от търсенето за: ' %1'"
"Minimum Search query length is %1","Минимална дължина на заявката за търсене е %1"
"Please specify at least one search term.","Моля, посочете поне една дума за търсене."
"up to %1","до %1"
"Category","Категория"
"Product","Продукт"
"Search Settings","Опции на търсене"
"Search","Търсене"
"Advanced Search","Подробно търсене"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 артикул</strong> е открит с помощта на следните критерии за търсене"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 артикули</strong> са открити с помощта на следните критерии за търсене"
"We can't find any items matching these search criteria.","Не можем да намерим артикули, отговарящи на тези критерии за търсене."
"Modify your search","Промени търсенето"
"name","име"
"Don't see what you're looking for?","Не виждате това, което търсите?"
"Your search returned no results.","Вашето търсене не върна резултати."
"Popular Search Terms","Популярни Условия за търсене"
"Catalog Search","Catalog Search"
"Minimal Query Length","Минимална Дължина на Заявката"
"Maximum Query Length","Максимална Дължина на Заявката""Name","Име"
"Description","Описание"
"Start Time","Начален час"
"End Time","Крайно време"
"Something went wrong while saving the category.","Нещо се обърка, докато запазвахме категорията."
"Attribute ""%1"" is required.","Атрибут ""%1"" е задължителен."
"Unable to save product","Продътът не може да бъде запазен."
"The image cannot be removed as it has been assigned to the other image role","Изображението не може да бъде изтрито, тъй като му е била назначена друга роля."
"Enabled","Активиран"
"Disabled","Неактивно"
"View/Edit","Преглед/Редактиране"
"Delete","Изтриване"
"Preview","Преглед"
"Scheduled Changes","Планирани промени"
"Start Date","Стартова дата"
"Action","Действие"
"End Date","Крайна дата"
"Update Information","Актуализирай Информацията"
"Update Name","Актуализирай Името"
"Start date","Начална дата"
"End date","Крайна дата"
"Enable Category","Активиране на Категорията"
